id,review_text,rating,physician_specialty,date
review_001,"Dr. Smith was incredibly thorough during my appointment. She took the time to explain my diagnosis in terms I could understand and answered all my questions patiently. The wait time was a bit long, about 45 minutes past my scheduled appointment, but the quality of care made up for it.",5,Internal Medicine,2024-11-15
review_002,"Terrible experience. The doctor rushed through my appointment in less than 5 minutes and didn't seem to listen to my concerns. I felt dismissed when I tried to explain my symptoms. Will not be returning.",1,Family Practice,2024-11-12
review_003,"The staff was friendly and the office was clean. Dr. Johnson ordered several tests to get to the bottom of my issues. I appreciated his methodical approach, though I wish he had better bedside manner - he seemed distracted during our conversation.",3,Cardiology,2024-11-10
review_004,"Outstanding care! Dr. Martinez remembered details from my previous visits and followed up on my medication side effects. She genuinely cares about her patients. The online portal for scheduling and results is also very convenient.",5,Endocrinology,2024-11-08
review_005,"Wait times are consistently over an hour. I understand doctors are busy, but my time is valuable too. The actual medical care is fine, but the scheduling and office management need serious improvement.",2,Dermatology,2024-11-05
review_006,"Dr. Chen is a lifesaver. After seeing multiple specialists who couldn't figure out what was wrong, she diagnosed my condition within two visits. Her attention to detail and willingness to dig deeper made all the difference.",5,Rheumatology,2024-10-30
review_007,"Mixed feelings about this practice. The nurse practitioners are wonderful and take their time, but getting an appointment with the actual physician is nearly impossible. When I did see Dr. Williams, he seemed rushed and kept checking his watch.",3,Primary Care,2024-10-28
review_008,"I've been a patient here for 10 years and the quality has declined significantly. New billing practices are confusing, front desk staff turnover is high, and appointments feel more transactional. Considering switching providers.",2,Internal Medicine,2024-10-25
review_009,"Excellent experience from start to finish. Easy parking, minimal wait time, friendly staff, and Dr. Patel was knowledgeable and compassionate. She took time to discuss treatment options and respected my preferences.",5,Oncology,2024-10-22
review_010,"The telehealth option has been a game-changer for my busy schedule. Dr. Thompson is just as attentive over video as in person. Prescriptions are sent directly to my pharmacy. Very satisfied with the modern approach to healthcare.",4,Psychiatry,2024-10-18
review_011,"Billing nightmare! I was charged for services not rendered and spent weeks trying to resolve it. The medical care itself was adequate, but dealing with the administrative side has been extremely frustrating.",2,Orthopedics,2024-10-15
review_012,"Dr. Rodriguez has an amazing bedside manner. As someone with medical anxiety, I really appreciated how she explained each step of the examination and made me feel comfortable. Highly recommend for anyone nervous about doctor visits.",5,OB/GYN,2024-10-12
review_013,"Good doctor but terrible support staff. Rude receptionists, lost paperwork, and they never return phone calls. I stay only because Dr. Lee is one of the few specialists in the area.",3,Neurology,2024-10-08
review_014,"First visit to this practice and I was impressed. The intake process was efficient, the medical assistant was thorough, and Dr. Kim spent a full 30 minutes discussing my health history and preventive care options.",4,Family Medicine,2024-10-05
review_015,"Disappointed with the lack of follow-up. Had a procedure done three weeks ago and still haven't received my results despite multiple calls. When I finally reached someone, they couldn't find my file. Unacceptable.",1,Gastroenterology,2024-10-01
review_016,"Dr. Anderson is technically skilled but lacks warmth. He fixed my issue but I felt like just another number. For complex medical needs he's great, but don't expect a friendly conversation.",3,Urology,2024-09-28
review_017,"This practice saved my father's life. The entire team worked together seamlessly during his cardiac emergency. Dr. Park's quick thinking and the staff's professionalism under pressure were remarkable. Forever grateful.",5,Cardiology,2024-09-25
review_018,"Average experience. Nothing particularly good or bad. The office could use updating and the magazines in the waiting room are from 2019, but Dr. Taylor was competent and addressed my concerns.",3,Allergy/Immunology,2024-09-20
review_019,"I appreciate that Dr. White takes a holistic approach to medicine. She asked about my stress levels, sleep, and diet rather than just treating symptoms. It's rare to find a doctor who looks at the whole picture.",5,Internal Medicine,2024-09-15
review_020,"Communication between the doctor and pharmacy is poor. Wrong dosages were sent twice, causing delays in my treatment. The doctor herself is fine but the systems in place need major improvement.",2,Pulmonology,2024-09-10
